modelo,limiar,precisao_nao_alfabetizado,recall_nao_alfabetizado,f1_nao_alfabetizado,acuracia_balanceada,percentual_sinalizado
Logística balanceada,0.425,0.46360766947755216,0.8764695404346278,0.6064396857186874,0.5816868902148087,78.0547894833609
Logística balanceada,0.45,0.4789360474266828,0.8130566441040257,0.6027930932021526,0.595511850579601,70.09009009009009
Logística balanceada,0.475,0.49472124467493983,0.7136622728892056,0.5843573381950775,0.6005525618845727,59.55874241588527
Logística balanceada,0.5,0.5033964962459778,0.6270039187744924,0.5584420735334946,0.5960221572954318,51.42489428203714
Logística balanceada,0.525,0.5159525979945305,0.5040969006056288,0.5099558518785476,0.5857679968676043,40.33829748115462
Logística balanceada,0.55,0.5288593436741585,0.4463840399002494,0.4841342670852451,0.5833723919674103,34.848317705460566
Logística balanceada,0.575,0.5637710633352702,0.34565372283576773,0.42855565371024734,0.5787891586559374,25.31347674204817
Logística balanceada,0.6,0.5877382589899783,0.26638760242251514,0.36661150946865234,0.5674957990818656,18.71299871299871
Logística balanceada,0.625,0.603532419242389,0.23129675810473815,0.3344279183568347,0.5622256947660285,15.822761537047251
Logística balanceada,0.65,0.6187180258802287,0.18311364446027786,0.2825922617002268,0.5518812413445624,12.219157933443647
Logística balanceada,0.675,0.621115687008611,0.1477556109725686,0.23872221023095186,0.542187444115958,9.821658393086965
Logística balanceada,0.7,0.6384136858475894,0.0731207695048094,0.13121304139363912,0.5219991021069484,4.728810443096157
Logística balanceada,0.725,0.6243822075782537,0.03375489846811543,0.06404731727925644,0.509737723549834,2.2320279463136607
Logística balanceada,0.75,0.6390977443609023,0.007570359814748842,0.01496347152539389,0.5022820797633273,0.4890604890604891
Logística balanceada,0.775,0.7096774193548387,0.0019593872461702885,0.003907984723332445,0.5006978623460764,0.11399154256297114
Logística balanceada,0.8,0.0,0.0,0.0,0.5,0.0
Logística balanceada,0.825,0.0,0.0,0.0,0.5,0.0
Logística balanceada,0.85,0.0,0.0,0.0,0.5,0.0
Logística balanceada,0.875,0.0,0.0,0.0,0.5,0.0
Logística balanceada,0.9,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=6,0.1,0.41287001287001285,1.0,0.5844416104937147,0.5,100.0
Floresta profundidade=6,0.125,0.41287001287001285,1.0,0.5844416104937147,0.5,100.0
Floresta profundidade=6,0.15,0.41287001287001285,1.0,0.5844416104937147,0.5,100.0
Floresta profundidade=6,0.175,0.41287001287001285,1.0,0.5844416104937147,0.5,100.0
Floresta profundidade=6,0.2,0.41287001287001285,1.0,0.5844416104937147,0.5,100.0
Floresta profundidade=6,0.225,0.41533108783358624,0.9993765586034913,0.5867956595633416,0.5050430735649134,99.3454679168965
Floresta profundidade=6,0.25,0.4286378789053415,0.9848592803705023,0.5973099983795171,0.530852637617455,94.86302629159772
Floresta profundidade=6,0.275,0.42959909787300227,0.9839686498040613,0.5980782243876032,0.5326306579639709,94.56517742232028
Floresta profundidade=6,0.3,0.43339653946432805,0.9771107944424653,0.6004597449510153,0.5394102854281594,93.08328736900165
Floresta profundidade=6,0.325,0.44538026398491515,0.9466512290701817,0.605761832844157,0.5588457498141038,87.75510204081633
Floresta profundidade=6,0.35,0.44836852207293665,0.9362308514428215,0.606350762841404,0.563123880659721,86.21070049641479
Floresta profundidade=6,0.375,0.4612381483547128,0.8838617741360884,0.6061568531639384,0.5789322022806702,79.11748483177054
Floresta profundidade=6,0.4,0.4882445141065831,0.7213216957605985,0.5823267184354328,0.5948313244883032,60.99650671079242
Floresta profundidade=6,0.425,0.5042746924306666,0.6461524759529748,0.5664649619363654,0.5997406082401562,52.90310718882147
