ano,id_municipio,rede,taxa_alfabetizacao,meta_alfabetizacao_2024,meta_alfabetizacao_2025,nome_municipio,sigla_uf,nome_regiao,situacao_meta_2024,distancia_meta_2024_pp
2024,3147006,Municipal,63.56,68.02,70.27,Paracatu,MG,Sudeste,Abaixo da meta,-4.459999999999994
2024,4321352,Municipal,37.0,68.03,70.27,Tavares,RS,Sul,Abaixo da meta,-31.03
2024,4128625,Municipal,68.04,,70.28,Alto Paraíso,PR,Sul,Sem dados para comparação,
2024,3554953,Municipal,55.64,68.04,70.28,Tuiuti,SP,Sudeste,Abaixo da meta,-12.400000000000006
2024,3137809,Municipal,74.76,68.05,70.29,Lambari,MG,Sudeste,Atingiu ou superou,6.710000000000008
2024,3119500,Municipal,67.56,68.05,70.29,Coronel Murta,MG,Sudeste,Abaixo da meta,-0.4899999999999949
2024,4215059,Municipal,76.32,68.06,70.3,Rio Rufino,SC,Sul,Atingiu ou superou,8.259999999999991
2024,1101492,Municipal,62.99,68.1,70.33,São Francisco do Guaporé,RO,Norte,Abaixo da meta,-5.109999999999992
2024,3502804,Municipal,74.22,68.1,70.33,Araçatuba,SP,Sudeste,Atingiu ou superou,6.1200000000000045
2024,3123205,Municipal,85.44,68.1,70.33,Dores do Indaiá,MG,Sudeste,Atingiu ou superou,17.340000000000003
2024,3304524,Municipal,68.67,68.13,70.35,Rio das Ostras,RJ,Sudeste,Atingiu ou superou,0.5400000000000063
2024,2108256,Municipal,57.92,68.13,70.35,Pedro do Rosário,MA,Nordeste,Abaixo da meta,-10.209999999999994
2024,4211702,Municipal,68.14,68.14,70.36,Orleans,SC,Sul,Atingiu ou superou,0.0
2024,2103703,Municipal,66.32,68.14,70.36,Cururupu,MA,Nordeste,Abaixo da meta,-1.8200000000000074
2024,4217006,Municipal,68.64,68.15,70.37,São Ludgero,SC,Sul,Atingiu ou superou,0.4899999999999949
2024,3205309,Municipal,73.2,68.18,70.39,Vitória,ES,Sudeste,Atingiu ou superou,5.019999999999996
2024,2509503,Municipal,82.33,68.18,70.39,Montadas,PB,Nordeste,Atingiu ou superou,14.149999999999991
2024,2207009,Municipal,72.5,68.21,70.42,Oeiras,PI,Nordeste,Atingiu ou superou,4.290000000000006
2024,4300802,Municipal,46.6,68.22,70.43,Antônio Prado,RS,Sul,Abaixo da meta,-21.619999999999997
2024,4312401,Municipal,39.8,68.22,70.43,Montenegro,RS,Sul,Abaixo da meta,-28.42
2024,4209102,Municipal,68.79,68.23,70.43,Joinville,SC,Sul,Atingiu ou superou,0.5600000000000023
2024,3105103,Municipal,80.48,68.24,70.44,Bambuí,MG,Sudeste,Atingiu ou superou,12.240000000000009
2024,4322509,Municipal,38.1,68.24,70.45,Vacaria,RS,Sul,Abaixo da meta,-30.139999999999993
2024,5213756,Municipal,78.69,68.25,70.45,Montividiu,GO,Centro-Oeste,Atingiu ou superou,10.439999999999998
2024,2513927,Municipal,60.02,68.26,70.46,São Bentinho,PB,Nordeste,Abaixo da meta,-8.240000000000002
2024,2207355,Municipal,64.0,68.29,70.48,Pajeú do Piauí,PI,Nordeste,Abaixo da meta,-4.290000000000006
2024,2102408,Municipal,64.0,68.3,70.49,Cajapió,MA,Nordeste,Abaixo da meta,-4.299999999999997
2024,4316709,Municipal,37.9,68.31,70.5,Santa Bárbara do Sul,RS,Sul,Abaixo da meta,-30.410000000000004
2024,2508000,Municipal,47.76,68.31,70.5,Juru,PB,Nordeste,Abaixo da meta,-20.550000000000004
2024,4201000,Municipal,77.33,68.32,70.5,Anita Garibaldi,SC,Sul,Atingiu ou superou,9.010000000000005
2024,4105003,Municipal,56.16,68.32,70.5,Catanduvas,PR,Sul,Abaixo da meta,-12.159999999999997
2024,3168309,Municipal,94.4,68.34,70.52,Taquaraçu de Minas,MG,Sudeste,Atingiu ou superou,26.060000000000002
2024,4312658,Municipal,58.2,68.38,70.55,Não-Me-Toque,RS,Sul,Abaixo da meta,-10.179999999999993
2024,2510105,Municipal,67.53,68.38,70.55,Nova Floresta,PB,Nordeste,Abaixo da meta,-0.8499999999999943
2024,3125952,Municipal,76.31,68.38,70.55,Fervedouro,MG,Sudeste,Atingiu ou superou,7.930000000000007
2024,3537404,Municipal,83.47,68.39,70.56,Pereira Barreto,SP,Sudeste,Atingiu ou superou,15.079999999999998
2024,2611101,Municipal,70.25,68.42,70.58,Petrolina,PE,Nordeste,Atingiu ou superou,1.8299999999999983
2024,3304151,Municipal,70.11,68.46,70.62,Quissamã,RJ,Sudeste,Atingiu ou superou,1.6500000000000057
2024,4311734,Municipal,55.2,68.47,70.62,Mampituba,RS,Sul,Abaixo da meta,-13.269999999999996
2024,1600154,Municipal,44.22,68.48,70.64,Pedra Branca do Amapari,AP,Norte,Abaixo da meta,-24.260000000000005
2024,3541703,Municipal,68.43,68.48,70.64,Quatá,SP,Sudeste,Abaixo da meta,-0.04999999999999716
2024,4320800,Municipal,61.9,68.48,70.64,Soledade,RS,Sul,Abaixo da meta,-6.580000000000005
2024,3150901,Municipal,78.97,68.5,70.65,Piranguçu,MG,Sudeste,Atingiu ou superou,10.469999999999999
2024,4306056,Municipal,78.4,68.53,70.67,Cristal,RS,Sul,Atingiu ou superou,9.870000000000005
2024,4101200,Municipal,63.75,68.53,70.68,Antonina,PR,Sul,Abaixo da meta,-4.780000000000001
2024,2207850,Municipal,90.0,68.54,70.68,Pavussu,PI,Nordeste,Atingiu ou superou,21.459999999999994
2024,3165701,Municipal,91.79,68.56,70.7,Senador Firmino,MG,Sudeste,Atingiu ou superou,23.230000000000004
2024,2606507,Municipal,82.26,68.56,70.7,Iati,PE,Nordeste,Atingiu ou superou,13.700000000000003
2024,5221403,Municipal,77.21,68.56,70.7,Trindade,GO,Centro-Oeste,Atingiu ou superou,8.649999999999991
2024,3304706,Municipal,73.82,68.58,70.72,Santo Antônio de Pádua,RJ,Sudeste,Atingiu ou superou,5.239999999999995
2024,4215505,Municipal,57.41,68.59,70.72,Santa Cecília,SC,Sul,Abaixo da meta,-11.180000000000007
2024,3127503,Municipal,82.31,68.63,70.75,Gonzaga,MG,Sudeste,Atingiu ou superou,13.680000000000007
2024,3501707,Municipal,71.18,68.63,70.76,Américo Brasiliense,SP,Sudeste,Atingiu ou superou,2.5500000000000114
2024,2103257,Municipal,86.24,68.64,70.76,Cidelândia,MA,Nordeste,Atingiu ou superou,17.599999999999994
2024,4322707,Municipal,41.9,68.66,70.78,Vera Cruz,RS,Sul,Abaixo da meta,-26.759999999999998
2024,3531605,Municipal,94.29,68.66,70.78,Monte Castelo,SP,Sudeste,Atingiu ou superou,25.63000000000001
2024,4203303,Municipal,59.82,68.68,70.79,Campo Alegre,SC,Sul,Abaixo da meta,-8.860000000000007
2024,3303856,Municipal,75.96,68.68,70.79,Paty do Alferes,RJ,Sudeste,Atingiu ou superou,7.279999999999987
2024,3124401,Municipal,66.53,68.68,70.8,Espírito Santo do Dourado,MG,Sudeste,Abaixo da meta,-2.1500000000000057
2024,2411502,Municipal,23.56,68.69,70.8,Santo Antônio,RN,Nordeste,Abaixo da meta,-45.129999999999995
2024,4213708,Municipal,60.13,68.69,70.8,Pouso Redondo,SC,Sul,Abaixo da meta,-8.559999999999995
2024,3532603,Municipal,67.47,68.69,70.8,Nhandeara,SP,Sudeste,Abaixo da meta,-1.2199999999999989
2024,5220108,Municipal,76.27,68.7,70.81,São Luís de Montes Belos,GO,Centro-Oeste,Atingiu ou superou,7.569999999999993
