id_municipio,nome_municipio,sigla_uf,nome_regiao,qtd_alunos,qtd_nao_alfabetizados,taxa_nao_alfabetizacao_amostra,escore_medio_modelo,proporcao_sinalizada
1301902,Itacoatiara,AM,Norte,131,73,0.5572519083969466,0.48961312424442915,1.0
1301951,Itamarati,AM,Norte,6,2,0.3333333333333333,0.43270065104104566,1.0
1302009,Itapiranga,AM,Norte,17,11,0.6470588235294118,0.4902830046222307,1.0
1302108,Japurá,AM,Norte,11,0,0.0,0.4471386990849787,1.0
1302207,Juruá,AM,Norte,15,8,0.5333333333333333,0.4125315591517994,1.0
1302306,Jutaí,AM,Norte,24,14,0.5833333333333334,0.4575027241597762,1.0
1302405,Lábrea,AM,Norte,51,23,0.45098039215686275,0.41988405078169705,1.0
1302504,Manacapuru,AM,Norte,137,81,0.5912408759124088,0.4644755554061941,1.0
1302553,Manaquiri,AM,Norte,20,16,0.8,0.5197399359847794,1.0
1302603,Manaus,AM,Norte,2332,1117,0.47898799313893653,0.45168872299428336,1.0
1302702,Manicoré,AM,Norte,41,18,0.43902439024390244,0.4968291401425717,1.0
1302801,Maraã,AM,Norte,23,12,0.5217391304347826,0.5097602738161523,1.0
1302900,Maués,AM,Norte,47,23,0.48936170212765956,0.5205165463611625,1.0
1303007,Nhamundá,AM,Norte,12,6,0.5,0.5205281847698238,1.0
1303106,Nova Olinda do Norte,AM,Norte,28,23,0.8214285714285714,0.5476422995205833,1.0
1303205,Novo Airão,AM,Norte,27,10,0.37037037037037035,0.4939658412984654,1.0
1303304,Novo Aripuanã,AM,Norte,30,18,0.6,0.48278093780998954,1.0
1303403,Parintins,AM,Norte,122,38,0.3114754098360656,0.4924225698779589,1.0
1303502,Pauini,AM,Norte,16,10,0.625,0.47197688095013324,1.0
1303536,Presidente Figueiredo,AM,Norte,54,37,0.6851851851851852,0.5012809398599332,1.0
1303569,Rio Preto da Eva,AM,Norte,33,15,0.45454545454545453,0.5025400009627843,1.0
1303601,Santa Isabel do Rio Negro,AM,Norte,10,10,1.0,0.4166848346943974,1.0
1303700,Santo Antônio do Içá,AM,Norte,53,36,0.6792452830188679,0.5484647982035296,1.0
1303809,São Gabriel da Cachoeira,AM,Norte,70,44,0.6285714285714286,0.42416548815416183,1.0
1303908,São Paulo de Olivença,AM,Norte,79,55,0.6962025316455697,0.4855479704915624,1.0
1303957,São Sebastião do Uatumã,AM,Norte,11,6,0.5454545454545454,0.5298710596126902,1.0
1304005,Silves,AM,Norte,12,8,0.6666666666666666,0.5115436404014805,1.0
1304062,Tabatinga,AM,Norte,125,74,0.592,0.4838261430202424,1.0
1304104,Tapauá,AM,Norte,24,10,0.4166666666666667,0.4332323900788926,1.0
1304203,Tefé,AM,Norte,121,69,0.5702479338842975,0.4526307692896472,1.0
1304237,Tonantins,AM,Norte,37,26,0.7027027027027027,0.5048333858816427,1.0
1304260,Uarini,AM,Norte,22,17,0.7727272727272727,0.495284472042338,1.0
1304302,Urucará,AM,Norte,21,6,0.2857142857142857,0.5125116315559655,1.0
1304401,Urucurituba,AM,Norte,27,18,0.6666666666666666,0.5254607141333528,1.0
1500107,Abaetetuba,PA,Norte,128,79,0.6171875,0.4935368594360179,1.0
1500131,Abel Figueiredo,PA,Norte,5,1,0.2,0.48852726416124687,1.0
1500206,Acará,PA,Norte,46,30,0.6521739130434783,0.5617829082015255,1.0
1500305,Afuá,PA,Norte,46,30,0.6521739130434783,0.5099410378968335,1.0
1500347,Água Azul do Norte,PA,Norte,13,9,0.6923076923076923,0.5648120918020272,1.0
1500404,Alenquer,PA,Norte,80,49,0.6125,0.5622213691800044,1.0
1500503,Almeirim,PA,Norte,31,20,0.6451612903225806,0.5004242614904959,1.0
1500602,Altamira,PA,Norte,149,79,0.5302013422818792,0.48616420606172317,1.0
1500701,Anajás,PA,Norte,35,21,0.6,0.4837493001475628,1.0
1500800,Ananindeua,PA,Norte,442,184,0.416289592760181,0.48059823724922685,1.0
1500859,Anapu,PA,Norte,36,16,0.4444444444444444,0.5522874003356464,1.0
1500909,Augusto Corrêa,PA,Norte,37,20,0.5405405405405406,0.5202392543897756,1.0
1500958,Aurora do Pará,PA,Norte,13,6,0.46153846153846156,0.5339779454102366,1.0
1501006,Aveiro,PA,Norte,10,3,0.3,0.5820242307980457,1.0
1501105,Bagre,PA,Norte,28,12,0.42857142857142855,0.566249149967481,1.0
1501204,Baião,PA,Norte,22,14,0.6363636363636364,0.5373946184540113,1.0
1501253,Bannach,PA,Norte,8,3,0.375,0.5031926333046158,1.0
1501303,Barcarena,PA,Norte,143,80,0.5594405594405595,0.5077428695368279,1.0
1501402,Belém,PA,Norte,860,419,0.4872093023255814,0.4638633698178351,1.0
1501451,Belterra,PA,Norte,19,10,0.5263157894736842,0.5470498421512182,1.0
1501501,Benevides,PA,Norte,89,27,0.30337078651685395,0.5119212897559551,1.0
1501576,Bom Jesus do Tocantins,PA,Norte,20,9,0.45,0.4927836733859417,1.0
1501600,Bonito,PA,Norte,11,7,0.6363636363636364,0.5337687149173209,1.0
1501709,Bragança,PA,Norte,115,72,0.6260869565217392,0.5060251538402081,1.0
1501725,Brasil Novo,PA,Norte,20,0,0.0,0.49025742705076614,1.0
1501758,Brejo Grande do Araguaia,PA,Norte,11,4,0.36363636363636365,0.513069964347996,1.0
1501782,Breu Branco,PA,Norte,61,33,0.5409836065573771,0.5257462947469416,1.0
1501808,Breves,PA,Norte,86,34,0.3953488372093023,0.5289747488625016,1.0
1501907,Bujaru,PA,Norte,27,11,0.4074074074074074,0.5676138549424445,1.0
1501956,Cachoeira do Piriá,PA,Norte,11,4,0.36363636363636365,0.5663272651343494,1.0
1502004,Cachoeira do Arari,PA,Norte,21,14,0.6666666666666666,0.5753507222914054,1.0
1502103,Cametá,PA,Norte,94,52,0.5531914893617021,0.5520225914710443,1.0
1502152,Canaã dos Carajás,PA,Norte,145,52,0.3586206896551724,0.5031087281630416,1.0
1502202,Capanema,PA,Norte,62,23,0.3709677419354839,0.4751317841679777,1.0
1502301,Capitão Poço,PA,Norte,48,28,0.5833333333333334,0.5087637478899842,1.0
1502400,Castanhal,PA,Norte,169,120,0.7100591715976331,0.5071958174931808,1.0
1502509,Chaves,PA,Norte,16,5,0.3125,0.5728910997339698,1.0
1502608,Colares,PA,Norte,8,3,0.375,0.5498698513760901,1.0
1502707,Conceição do Araguaia,PA,Norte,62,33,0.532258064516129,0.48046268196446007,1.0
1502756,Concórdia do Pará,PA,Norte,37,19,0.5135135135135135,0.5377644519792442,1.0
1502764,Cumaru do Norte,PA,Norte,15,10,0.6666666666666666,0.49773266608051814,1.0
